procedure_name_en,project_name_en,building_name_ar,actual_worth,property_usage_en,reg_type_id,procedure_id,property_sub_type_id,procedure_area,procedure_name_ar,instance_date,project_name_ar,building_name_en,property_usage_ar,area_id,property_type_id,nearest_metro_en,has_parking,meter_sale_price,trans_group_ar,nearest_mall_en,no_of_parties_role_3,nearest_metro_ar,no_of_parties_role_2,no_of_parties_role_1,trans_group_en,nearest_mall_ar,transaction_id,rooms_ar,meter_rent_price,property_type_en,master_project_en,nearest_landmark_en,rooms_en,area_name_en,property_type_ar,trans_group_id,load_timestamp,nearest_landmark_ar,area_name_ar,reg_type_en,property_sub_type_en,project_number,rent_value,reg_type_ar,property_sub_type_ar,master_project_ar
"Mortgage Registration","ACACIA AT PARK HEIGHTS","اكاسيا في بارك هايتس بناية بي","1275000","Residential","1","13","60","122.4","تسجيل رهن","2020-07-20","أكاسيا أت بارك هايتس","ACACIA AT PARK HEIGHTS BUILDING B","سكني","482","3","First Abu Dhabi Bank Metro Station","1","10416.67","رهون","Mall of the Emirates","0","محطة مترو بنك أبوظبي الأول","1","1","Mortgages","مول الإمارات","2-13-2020-4982","غرفتين","null","Unit","Dubai Hills Estate","Burj Al Arab","2 B/R","Hadaeq Sheikh Mohammed Bin Rashid","وحدة","2","2026-04-12 21:13:42","برج العرب","حدائق الشيخ محمد بن راشد","Existing Properties","Flat","1633","null","العقارات القائمة","شقه سكنيه"," دبي هيلز استيت "
"Sell - Pre registration","Address The Bay","العنوان ذا باي","4630888","Residential","0","102","60","122.21","بيع - تسجيل مبدئى","2023-05-11","العنوان ذا باي","Address The Bay","سكني","330","3","null","1","37892.87","مبايعات","null","0","null","1","1","Sales","null","1-102-2023-21933","غرفتين","null","Unit","Dubai Harbour","null","2 B/R","Marsa Dubai","وحدة","1","2026-04-12 21:13:42","null","مرسى دبي","Off-Plan Properties","Flat","2397","null","على الخارطة","شقه سكنيه","دبي هاربر"
"Sell","null","برج الربيه","813220","Residential","1","11","60","99.41","بيع","2025-10-06","null","Al Rabia Tower","سكني","465","3","null","1","8180.46","مبايعات","null","0","null","1","1","Sales","null","1-11-2025-40885","غرفة","null","Unit","Majan","IMG World Adventures","1 B/R","Wadi Al Safa 3","وحدة","1","2026-04-12 21:13:42","آي إم جي وورلد أدفينتشرز","وادي الصفا 3","Existing Properties","Flat","null","null","العقارات القائمة","شقه سكنيه","ماجان"
"Delayed Sell","DAMAC HILLS (2) - NATURA","null","1893000","Residential","1","41","null","112.88","بيع مبدئى","2024-07-05","داماك هيلز (2) - ناتورا","null","سكني","505","1","null","0","16770.02","مبايعات","null","0","null","1","1","Sales","null","1-41-2024-13698","null","null","Land","DAMAC HILLS 2","null","null","Madinat Hind 4","أرض","1","2026-04-12 21:13:42","null","مدينة هند 4","Existing Properties","null","2735","null","العقارات القائمة","null","داماك هيليز 2"
"Sell","CRYSTAL TOWER","كريستال تاور","210000","Commercial","1","11","23","32.1","بيع","2012-04-16","برج كريستال","CRYSTAL TOWER","تجاري","390","3","Buj Khalifa Dubai Mall Metro Station","1","6542.06","مبايعات","Dubai Mall","0","محطة مترو بوج خليفة دبي مول","2","1","Sales","مول دبي","1-11-2012-4972","محل","null","Unit","Business Bay","Downtown Dubai","Shop","Burj Khalifa","وحدة","1","2026-04-12 21:13:42","وسط مدينة دبي","برج خليفة","Existing Properties","Shop","72","null","العقارات القائمة","محل","الخليج التجاري"
"Sell - Pre registration","THE ROYAL ESTATES PLOT.3","EAST GATE 3","853251","Residential","0","102","60","75.49","بيع - تسجيل مبدئى","2010-03-22","ذا رويال استيت بلوت 3","EAST GATE 3","سكني","458","3","DANUBE Metro Station","0","11302.83","مبايعات","Ibn-e-Battuta Mall","0","محطة مترو الدانوب","2","1","Sales","ابن بطوطة مول","1-102-2008-1172","غرفة","null","Unit","Dubai Investment Park First","Expo 2020 Site","1 B/R","Dubai Investment Park First","وحدة","1","2026-04-12 21:13:42","موقع إكسبو 2020","مجمع دبي للاستثمار الاول","Off-Plan Properties","Flat","1514","null","على الخارطة","شقه سكنيه","مجمع دبي للاستثمار الاول"
"Sell - Pre registration","CHAMPIONS TOWER2","CHAMPIONS TOWER2","726878","Residential","0","102","60","83.1","بيع - تسجيل مبدئى","2009-06-03","شامبيونز تاور 2","CHAMPIONS TOWER2","سكني","435","3","Nakheel Metro Station","0","8747.03","مبايعات","Marina Mall","0","محطة مترو النخيل","1","1","Sales","مارينا مول","1-102-2007-17032","غرفة","null","Unit","Dubai Sports City","Sports City Swimming Academy","1 B/R","Al Hebiah Fourth","وحدة","1","2026-04-12 21:13:42","أكاديمية المدينة الرياضية للسباحة","الحبيه الرابعة","Off-Plan Properties","Flat","764","null","على الخارطة","شقه سكنيه","مدينة دبي الرياضية"
"Grant","SILVER TOWER","برج فضي","1500000","Commercial","1","9","42","97","هبه","2014-01-07","سلفر تاور","Silver Tower","تجاري","526","3","Business Bay Metro Station","1","15463.92","هبات","Dubai Mall","0","محطة مترو الخليج التجاري","1","1","Gifts","مول دبي","3-9-2014-11","مكتب","null","Unit","Business Bay","Downtown Dubai","Office","Business Bay","وحدة","3","2026-04-12 21:13:42","وسط مدينة دبي","الخليج التجارى","Existing Properties","Office","219","null","العقارات القائمة","مكتب","الخليج التجاري"
"Sell - Pre registration","Elitz By Danube ","إليتز من دانوب - 2","620000","Residential","0","102","60","40.88","بيع - تسجيل مبدئى","2023-03-09","إليتز من دانوب ","Elitz By Danube - 2","سكني","441","3","Dubai Internet City","1","15166.34","مبايعات","Mall of the Emirates","0","مدينة دبي للإنترنت","1","1","Sales","مول الإمارات","1-102-2023-11474","استوديو","null","Unit","Jumeirah Village Circle","Sports City Swimming Academy","Studio","Al Barsha South Fourth","وحدة","1","2026-04-12 21:13:42","أكاديمية المدينة الرياضية للسباحة","البرشاء جنوب الرابعة","Off-Plan Properties","Flat","2533","null","على الخارطة","شقه سكنيه","قرية جميرا الدائرية"
"Sell","null","ساوث ريدج 1","1200000","Residential","1","11","60","85.01","بيع","2022-02-14","null","South Ridge 1","سكني","390","3","Buj Khalifa Dubai Mall Metro Station","1","14115.99","مبايعات","Dubai Mall","0","محطة مترو بوج خليفة دبي مول","1","1","Sales","مول دبي","1-11-2022-2600","غرفة","null","Unit","DownTown Dubai","Downtown Dubai","1 B/R","Burj Khalifa","وحدة","1","2026-04-12 21:13:42","وسط مدينة دبي","برج خليفة","Existing Properties","Flat","null","null","العقارات القائمة","شقه سكنيه","داون تاون دبي"
"Mortgage Registration","null","null","10640000","Commercial","1","13","null","1046.27","تسجيل رهن","2008-12-23","null","null","تجاري","334","1","Creek Metro Station","0","10169.46","رهون","Dubai Mall","0","محطة مترو الخور","1","1","Mortgages","مول دبي","2-13-2008-3015","null","null","Land","Sama Al Jadaf","Dubai International Airport","null","Al Jadaf","أرض","2","2026-04-12 21:13:42","مطار دبي الدولي","الجداف","Existing Properties","null","null","null","العقارات القائمة","null","سما الجداف"
"Mortgage Registration","null","جولف تاورز - T3","1440000","Residential","1","13","60","89.37","تسجيل رهن","2025-03-20","null","GOLF TOWERS T3","سكني","351","3","Nakheel Metro Station","1","16112.79","رهون","Marina Mall","0","محطة مترو النخيل","1","1","Mortgages","مارينا مول","2-13-2025-7349","غرفة","null","Unit","The Greens","Burj Al Arab","1 B/R","Al Thanyah Third","وحدة","2","2026-04-12 21:13:42","برج العرب","الثنيه الثالثة","Existing Properties","Flat","null","null","العقارات القائمة","شقه سكنيه","الروضة"
"Sell","DAMAC HILLS (2) - AMARGO ","null","1450000","Residential","1","11","null","167.44","بيع","2026-03-13","داماك هيلز ( 2 ) - أمارجو","null","سكني","505","1","null","0","8659.82","مبايعات","null","0","null","1","1","Sales","null","1-11-2026-10960","null","null","Land","DAMAC HILLS 2","null","null","Madinat Hind 4","أرض","1","2026-04-12 21:13:42","null","مدينة هند 4","Existing Properties","null","1840","null","العقارات القائمة","null","داماك هيليز 2"
"Sell","DUBAI MARINA MALL","دبي مارينا مول هوتيل","950000","Residential","1","11","60","81.75","بيع","2020-06-16","دبي مارينا مول","Dubai Marina Mall Hotel","سكني","330","3","Marina Mall Metro Station","1","11620.8","مبايعات","Marina Mall","0","محطة مترو مارينا مول","1","1","Sales","مارينا مول","1-11-2020-4474","غرفة","null","Unit","Dubai Marina","Burj Al Arab","1 B/R","Marsa Dubai","وحدة","1","2026-04-12 21:13:42","برج العرب","مرسى دبي","Existing Properties","Flat","1460","null","العقارات القائمة","شقه سكنيه","دبي مارينا"
"Sell - Pre registration","Jewelz Residence","جويلز رزيدنس  ","497280","Residential","0","102","60","39.27","بيع - تسجيل مبدئى","2018-12-10","جويلز رزيدنس","Jewelz Residence","سكني","409","3","Sharaf Dg Metro Station","1","12663.1","مبايعات","Mall of the Emirates","0","محطة مترو شرف دي جي","2","1","Sales","مول الإمارات","1-102-2018-16407","استوديو","null","Unit","Arjan","Motor City","Studio","Al Barshaa South Third","وحدة","1","2026-04-12 21:13:42","موتور سيتي","البرشاء جنوب الثالثة","Off-Plan Properties","Flat","2027","null","على الخارطة","شقه سكنيه","أرجان"
"Sell","null","null","620000","Residential","1","11","null","174.81","بيع","2024-10-07","null","null","سكني","505","1","null","0","3546.71","مبايعات","null","0","null","1","1","Sales","null","1-11-2024-37516","null","null","Land","DAMAC HILLS 2","null","null","Madinat Hind 4","أرض","1","2026-04-12 21:13:42","null","مدينة هند 4","Existing Properties","null","null","null","العقارات القائمة","null","داماك هيليز 2"
"Sell","DIAMOND VIEWS 2","دايموند فيوز 2","412000","Residential","1","11","60","37.9","بيع","2025-05-22","دايموند فيوز 2","DIAMOND VIEWS 2","سكني","441","3","Dubai Internet City","1","10870.71","مبايعات","Mall of the Emirates","0","مدينة دبي للإنترنت","1","1","Sales","مول الإمارات","1-11-2025-21454","استوديو","null","Unit","Jumeirah Village Circle","Sports City Swimming Academy","Studio","Al Barsha South Fourth","وحدة","1","2026-04-12 21:13:42","أكاديمية المدينة الرياضية للسباحة","البرشاء جنوب الرابعة","Existing Properties","Flat","217","null","العقارات القائمة","شقه سكنيه","قرية جميرا الدائرية"
"Grant","INTERNATIONAL CITY EMARATI","إماراتي - 17","313218","Residential","1","9","60","41.57","هبه","2017-12-18","المدينة العالمية الإماراتية","EMR-17","سكني","343","3","Rashidiya Metro Station","0","7534.71","هبات","City Centre Mirdif","0","محطة مترو الراشدية","1","1","Gifts","سيتي سنتر مردف","3-9-2017-2381","استوديو","null","Unit","International City Phase 1","null","Studio","Al Warsan First","وحدة","3","2026-04-12 21:13:42","null","ورسان الاولى","Existing Properties","Flat","1288","null","العقارات القائمة","شقه سكنيه","المدينة العالمية - المرحلة الاولى"
"Sell - Pre registration","CORAL RESIDENCE","كورال ريسيدنس","740003","Residential","0","102","60","76.47","بيع - تسجيل مبدئى","2010-08-30","كورال ريزيدنس","CORAL RESIDENCE","سكني","484","3","null","1","9677.04","مبايعات","null","0","null","2","1","Sales","null","1-102-2010-1884","غرفة","null","Unit","Silicon Oasis","IMG World Adventures","1 B/R","Nadd Hessa","وحدة","1","2026-04-12 21:13:42","آي إم جي وورلد أدفينتشرز","ند حصة","Off-Plan Properties","Flat","43","null","على الخارطة","شقه سكنيه","واحة السيليكون"
"Sell","TANARO","تنارو","1800000","Residential","1","11","60","128.67","بيع","2023-04-18","تانارو","TNARO","سكني","351","3","Nakheel Metro Station","1","13989.27","مبايعات","Marina Mall","0","محطة مترو النخيل","2","1","Sales","مارينا مول","1-11-2023-11344","غرفتين","null","Unit","The Greens","Burj Al Arab","2 B/R","Al Thanyah Third","وحدة","1","2026-04-12 21:13:42","برج العرب","الثنيه الثالثة","Existing Properties","Flat","1459","null","العقارات القائمة","شقه سكنيه","الروضة"
"Lease to Own Registration","ELITE RESIDENCE","ايليت ريزيدينس","1416547","Residential","1","110","60","89.23","تسجيل إيجارة تنتهى بالتملك","2012-12-27","إيليت ريزيدنس","ELITE RESIDENCE","سكني","330","3","Mina Seyahi","1","15875.24","مبايعات","Marina Mall","2","مينا السياحي","2","2","Sales","مارينا مول","1-110-2012-2067","غرفة","null","Unit","Dubai Marina","Burj Al Arab","1 B/R","Marsa Dubai","وحدة","1","2026-04-12 21:13:42","برج العرب","مرسى دبي","Existing Properties","Flat","227","null","العقارات القائمة","شقه سكنيه","دبي مارينا"
"Delayed Sell","Alaya","null","12000000","Other","1","41","null","560","بيع مبدئى","2025-11-03","علايا","null","مليون","435","1","null","0","21428.57","مبايعات","null","0","null","1","1","Sales","null","1-41-2025-28618","null","null","Land","TILAL AL GHAF","null","null","Al Hebiah Fourth","أرض","1","2026-04-12 21:13:42","null","الحبيه الرابعة","Existing Properties","null","2322","null","العقارات القائمة","null","تلال الغاف"
