Firestore ID,Project Number,Current Name,Current Developer,Current Community,Correct Name,Correct Developer,Correct Community,Bayut Link,PF Link
-dld-2586,2586,"The World Project 2586","Nakheel","The World",,,,https://www.bayut.com/to-buy/property/dubai/?q=The%20World%20Project%202586,https://www.propertyfinder.ae/en/search?q=The%20World%20Project%202586
al-barari-villas-2218-dld-2218,2218,"Al Barari - Villas 2218","Dubai Properties","Al Barari",,,,https://www.bayut.com/to-buy/property/dubai/?q=Al%20Barari%20-%20Villas%202218,https://www.propertyfinder.ae/en/search?q=Al%20Barari%20-%20Villas%202218
al-furjan-residences-3114-dld-3114,3114,"Al Furjan - Residences 3114","Nakheel","Al Furjan",,,,https://www.bayut.com/to-buy/property/dubai/?q=Al%20Furjan%20-%20Residences%203114,https://www.propertyfinder.ae/en/search?q=Al%20Furjan%20-%20Residences%203114
al-furjan-residences-3621-dld-3621,3621,"Al Furjan - Residences 3621","Nakheel","Al Furjan",,,,https://www.bayut.com/to-buy/property/dubai/?q=Al%20Furjan%20-%20Residences%203621,https://www.propertyfinder.ae/en/search?q=Al%20Furjan%20-%20Residences%203621
arjan-project-2136-dld-2136,2136,"Arjan - Project 2136","Dubai Properties","Arjan",,,,https://www.bayut.com/to-buy/property/dubai/?q=Arjan%20-%20Project%202136,https://www.propertyfinder.ae/en/search?q=Arjan%20-%20Project%202136
arjan-project-3436-dld-3436,3436,"Arjan - Project 3436","Dubai Properties","Arjan",,,,https://www.bayut.com/to-buy/property/dubai/?q=Arjan%20-%20Project%203436,https://www.propertyfinder.ae/en/search?q=Arjan%20-%20Project%203436
barsha-heights-residences-2713-dld-2713,2713,"Barsha Heights - Residences 2713","Dubai Holdings (TECOM)","Barsha Heights",,,,https://www.bayut.com/to-buy/property/dubai/?q=Barsha%20Heights%20-%20Residences%202713,https://www.propertyfinder.ae/en/search?q=Barsha%20Heights%20-%20Residences%202713
discovery-gardens-tower-3556-dld-3556,3556,"Trussardi Residences 2","M I R A Developments L.L.C","Discovery Gardens",,,,https://www.bayut.com/to-buy/property/dubai/?q=Trussardi%20Residences%202,https://www.propertyfinder.ae/en/search?q=Trussardi%20Residences%202
dld-project-2105-dld-2105,2105,"DLD Project 2105","Majid Al Futtaim","Tilal Al Ghaf",,,,https://www.bayut.com/to-buy/property/dubai/?q=DLD%20Project%202105,https://www.propertyfinder.ae/en/search?q=DLD%20Project%202105
dld-project-2766-dld-2766,2766,"DLD Project 2766","Dubai Properties","Dubailand",,,,https://www.bayut.com/to-buy/property/dubai/?q=DLD%20Project%202766,https://www.propertyfinder.ae/en/search?q=DLD%20Project%202766
