"name","tier","headquarters","website","totalProjects","visibility"
"Aldar Properties","tier-1","Abu Dhabi, UAE","https://www.aldar.com","78","published"
"Aqua Properties","T3","","","0",""
"Arada","tier-2","Sharjah, UAE","https://www.arada.com","14","published"
"Aristo Developers","T3","","","0",""
"Azizi Developments","tier-1","Dubai, UAE","https://www.azizidevelopments.com","64","published"
"Binghatti","tier-1","Dubai, UAE","https://www.binghatti.com","56","published"
"Bloom Properties","tier-2","Abu Dhabi, UAE","https://www.bloomholding.com","18","published"
"Condor Developers","T3","","","0",""
"Crestmark","T2","","","0",""
"DAMAC Properties","tier-1","Dubai, UAE","https://www.damacproperties.com","98","published"
"Danube Properties","tier-1","Dubai, UAE","https://www.danubeproperties.com","32","published"
"DAR Global","tier-2","Dubai, UAE","https://www.darglobal.co.uk","12","published"
"Dubai Development","T3","","","0",""
"Deca Properties","T3","","","0",""
"Deyaar Development","tier-2","Dubai, UAE","https://www.deyaar.ae","34","published"
"Dubai Properties","tier-2","Dubai, UAE","https://www.dp.ae","56","published"
"Dugasta Properties","T2","","","0",""
"Ellington Properties","tier-2","Dubai, UAE","https://www.ellingtonproperties.ae","22","published"
"Emaar Properties","tier-1","Dubai, UAE","https://www.emaar.com","142","published"
"Emaar Development","tier-1","Dubai, UAE","https://www.emaardevelopment.com","48","published"
"Evolutions Group","T3","","","0",""
"Falconcity of Wonders","T3","","","0",""
"Ghantoot","T3","","","0",""
"Greenfield","T3","","","0",""
"H&H Development","tier-2","Dubai, UAE","https://www.hhdevelopment.com","10","published"
"Imtiaz Developments","tier-2","Dubai, UAE","https://www.imtiaz.ae","20","published"
"IRTH","T3","","","0",""
"Kasco Properties","T3","","","0",""
"Lootah Real Estate","tier-2","Dubai, UAE","https://www.lootah.ae","32","published"
"MAG Property Dev","tier-2","Dubai, UAE","https://www.magpd.com","28","published"
"Meraas","tier-1","Dubai, UAE","https://www.meraas.com","45","published"
"Mered","T3","","","0",""
"Nakheel","tier-1","Dubai, UAE","https://www.nakheel.com","56","published"
"Novvy Group","T3","","","0",""
"Nshama","tier-2","Dubai, UAE","https://www.nshama.ae","16","published"
"Object 1","tier-2","Dubai, UAE","https://www.object-1.ae","12","published"
"Omniyat","tier-1","Dubai, UAE","https://www.omniyat.com","18","published"
"Pantheon Development","T3","","","0",""
"Premier Properties","T3","","","0",""
"Prescott Real Estate","T3","","","0",""
"Reportage Properties","tier-2","Abu Dhabi, UAE","https://www.reportageproperties.com","42","published"
"Riviera Developers","T3","","","0",""
"Samana Developers","tier-2","Dubai, UAE","https://www.samanadevelopers.com","18","published"
"Select Group","tier-2","Dubai, UAE","https://www.select-group.ae","24","published"
"Sobha Realty","tier-1","Dubai, UAE","https://www.sobharealty.com","38","published"
"Taraf","T3","","","0",""
"Tiger Properties","tier-2","Dubai, UAE","https://www.tiger-properties.com","48","published"
"Vincitore Real Estate","T3","","","0",""
"Vincitore Group","T3","","","0",""
"Wasl Properties","tier-2","Dubai, UAE","https://www.wasl.ae","36","published"
